Date,Total_Orders,Revenue
03-31-22,162,101683.84999999998
04-01-22,1362,865478.5999999997
04-02-22,1456,913101.5299999998
04-03-22,1592,1011763.38
04-04-22,1374,882059.1699999998
04-05-22,1517,950544.0499999998
04-06-22,1474,886985.2599999999
04-07-22,1434,909899.3500000001
04-08-22,1582,1017857.6099999995
04-09-22,1528,972076.4799999999
04-10-22,1673,1075234.0299999996
04-11-22,1460,949559.2699999992
04-12-22,1364,885895.0299999998
04-13-22,1546,977017.2999999996
04-14-22,1771,1113487.5599999996
04-15-22,1699,1024143.1299999997
04-16-22,1646,1009402.2299999997
04-17-22,1524,940843.8999999997
04-18-22,1462,885403.4599999997
04-19-22,1569,958943.3599999996
04-20-22,1752,1091550.4099999997
04-21-22,1634,971524.5799999996
04-22-22,1558,977653.62
04-23-22,1729,1092882.6199999994
04-24-22,1699,1082483.9499999997
04-25-22,1558,977332.8799999997
04-26-22,1480,910749.809999999
04-27-22,1374,850676.5799999993
04-28-22,1341,838362.0899999997
04-29-22,1352,838703.6499999997
04-30-22,1545,969634.4299999999
05-01-22,1705,1079957.5200000003
05-02-22,1932,1172327.0600000005
05-03-22,1921,1190672.5899999996
05-04-22,1865,1208509.1700000004
05-05-22,1375,894704.1699999999
05-06-22,1322,908771.1299999997
05-07-22,1354,910619.7600000001
05-08-22,1381,902173.0599999997
05-09-22,1248,810945.8900000001
05-10-22,1108,723616.8799999998
05-11-22,1103,737292.5200000001
05-12-22,1041,693445.9299999999
05-13-22,1065,736609.7600000002
05-14-22,1144,768171.9000000003
05-15-22,1322,894645.6699999998
05-16-22,1137,763146.9099999999
05-17-22,1145,764918.6300000002
05-18-22,1185,797542.0800000001
05-19-22,1145,778026.25
05-20-22,1042,704449.01
05-21-22,1037,697790.6200000002
05-22-22,1140,777176.8300000001
05-23-22,1118,755930.56
05-24-22,1137,759458.39
05-25-22,1213,819478.3400000001
05-26-22,1143,767619.5999999999
05-27-22,1209,813334.57
05-28-22,1267,850986.6000000002
05-29-22,1230,816996.4900000001
05-30-22,1182,817463.7699999999
05-31-22,1309,903069.0900000002
06-01-22,1428,935430.2099999998
06-02-22,1329,895937.8199999996
06-03-22,1148,737814.1899999998
06-04-22,1362,889793.1000000001
06-05-22,1497,989093.03
06-06-22,1446,955276.1300000001
06-07-22,1449,965557.2600000002
06-08-22,1483,965472.0900000002
06-09-22,1467,959183.09
06-10-22,1193,798796.9400000001
06-11-22,1302,863796.3400000001
06-12-22,1467,955246.82
06-13-22,1313,877674.46
06-14-22,1345,899234.01
06-15-22,1159,785089.3200000001
06-16-22,1189,778813.5
06-17-22,1090,747349.1
06-18-22,1117,741010.38
06-19-22,1109,729840.6
06-20-22,1163,756764.9099999999
06-21-22,1228,804470.4399999998
06-22-22,1211,778915.3099999997
06-23-22,1009,654729.4799999999
06-24-22,965,630349.2899999999
06-25-22,964,654234.5800000001
06-26-22,1156,773610.0199999999
06-27-22,1055,714124.6699999999
06-28-22,1134,772085.53
06-29-22,629,411530.76
